ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20100907,TX,69.6,25.16,3.74,1.51,0,0,9/7/10,9/13/10,2
20100831,TX,51.29,37.2,10.83,0.68,0,0,8/31/10,9/6/10,2
20100824,TX,75.51,18.97,4.84,0.68,0,0,8/24/10,8/30/10,2
20100817,TX,84.98,10.52,3.82,0.68,0,0,8/17/10,8/23/10,2
20100810,TX,90.68,6.87,2.22,0.22,0,0,8/10/10,8/16/10,2
20100803,TX,89.46,8.09,2.22,0.22,0,0,8/3/10,8/9/10,2
20100727,TX,89.01,8.26,2.3,0.44,0,0,7/27/10,8/2/10,2
20100720,TX,82.43,10.2,6.76,0.61,0,0,7/20/10,7/26/10,2
20100713,TX,82.85,9.79,5.68,1.67,0,0,7/13/10,7/19/10,2
20100706,TX,82.85,9.79,5.68,1.67,0,0,7/6/10,7/12/10,2
20100629,TX,71.2,14.79,10.05,3.96,0,0,6/29/10,7/5/10,2
20100622,TX,51.78,35.22,13,0,0,0,6/22/10,6/28/10,2
20100615,TX,83.39,15.6,1.02,0,0,0,6/15/10,6/21/10,2
20100608,TX,76.75,16.21,7.04,0,0,0,6/8/10,6/14/10,2
20100601,TX,72.71,17.75,9.54,0,0,0,6/1/10,6/7/10,2
20100525,TX,86.1,8.64,5.26,0,0,0,5/25/10,5/31/10,2
20100518,TX,90.07,6.41,3.51,0,0,0,5/18/10,5/24/10,2
20100511,TX,83.84,12.72,3.44,0,0,0,5/11/10,5/17/10,2
20100504,TX,89.19,10.49,0.32,0,0,0,5/4/10,5/10/10,2
20100427,TX,96.94,3.06,0,0,0,0,4/27/10,5/3/10,2
20100420,TX,96.94,3.06,0,0,0,0,4/20/10,4/26/10,2
20100413,TX,95.85,4.15,0,0,0,0,4/13/10,4/19/10,2
20100406,TX,95.87,4.13,0,0,0,0,4/6/10,4/12/10,2
20100330,TX,96.51,3.49,0,0,0,0,3/30/10,4/5/10,2
20100323,TX,96.51,3.49,0,0,0,0,3/23/10,3/29/10,2
20100316,TX,96.51,3.49,0,0,0,0,3/16/10,3/22/10,2
20100309,TX,96.51,3.49,0,0,0,0,3/9/10,3/15/10,2
20100302,TX,96.37,3.63,0,0,0,0,3/2/10,3/8/10,2
20100223,TX,93.6,6.4,0,0,0,0,2/23/10,3/1/10,2
20100216,TX,93.43,6.57,0,0,0,0,2/16/10,2/22/10,2
20100209,TX,92.77,6.8,0.43,0,0,0,2/9/10,2/15/10,2
20100202,TX,83.86,11.91,3.83,0.4,0,0,2/2/10,2/8/10,2
20100126,TX,74.25,20.03,3.9,1.82,0,0,1/26/10,2/1/10,2
20100119,TX,73.91,20.12,3.94,2.03,0,0,1/19/10,1/25/10,2
20100112,TX,73.06,19.95,4.67,2.31,0,0,1/12/10,1/18/10,2
20100105,TX,72.9,20.11,4.67,2.31,0,0,1/5/10,1/11/10,2
,,,,,,,,,,
