ReleaseDate,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
10/31/17,48145,Falls County,TX,16.28,83.72,0,0,0,0,10/31/17,11/6/17
10/31/17,48147,Fannin County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48149,Fayette County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48151,Fisher County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48153,Floyd County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48155,Foard County,TX,4,96,39.63,0,0,0,10/31/17,11/6/17
10/31/17,48157,Fort Bend County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48159,Franklin County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48161,Freestone County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48163,Frio County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48165,Gaines County,TX,1.12,98.88,0,0,0,0,10/31/17,11/6/17
10/31/17,48167,Galveston County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48169,Garza County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48171,Gillespie County,TX,40.24,59.76,0,0,0,0,10/31/17,11/6/17
10/31/17,48173,Glasscock County,TX,9.04,90.96,0,0,0,0,10/31/17,11/6/17
10/31/17,48175,Goliad County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48177,Gonzales County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48179,Gray County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48181,Grayson County,TX,72.24,27.76,0,0,0,0,10/31/17,11/6/17
10/31/17,48183,Gregg County,TX,0,100,4.97,0,0,0,10/31/17,11/6/17
10/31/17,48185,Grimes County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48187,Guadalupe County,TX,73.29,26.71,0,0,0,0,10/31/17,11/6/17
10/31/17,48189,Hale County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48191,Hall County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48193,Hamilton County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48195,Hansford County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48197,Hardeman County,TX,66.01,33.99,0,0,0,0,10/31/17,11/6/17
10/31/17,48199,Hardin County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48201,Harris County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48203,Harrison County,TX,0,100,59.74,0,0,0,10/31/17,11/6/17
10/31/17,48205,Hartley County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48207,Haskell County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48209,Hays County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48211,Hemphill County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48213,Henderson County,TX,55.55,44.45,0,0,0,0,10/31/17,11/6/17
10/31/17,48215,Hidalgo County,TX,91.84,8.16,0,0,0,0,10/31/17,11/6/17
10/31/17,48217,Hill County,TX,23.13,76.87,0,0,0,0,10/31/17,11/6/17
10/31/17,48219,Hockley County,TX,98.19,1.81,0,0,0,0,10/31/17,11/6/17
10/31/17,48221,Hood County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48223,Hopkins County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48225,Houston County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48227,Howard County,TX,67.24,32.76,0,0,0,0,10/31/17,11/6/17
10/31/17,48229,Hudspeth County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48231,Hunt County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48233,Hutchinson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48235,Irion County,TX,37.49,62.51,0,0,0,0,10/31/17,11/6/17
10/31/17,48237,Jack County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48239,Jackson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48241,Jasper County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48243,Jeff Davis County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48245,Jefferson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48247,Jim Hogg County,TX,0.15,99.85,78.68,25.82,0,0,10/31/17,11/6/17
10/31/17,48249,Jim Wells County,TX,35.15,64.85,0.07,0,0,0,10/31/17,11/6/17
10/31/17,48251,Johnson County,TX,99.51,0.49,0,0,0,0,10/31/17,11/6/17
10/31/17,48253,Jones County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48255,Karnes County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48257,Kaufman County,TX,0.88,99.12,0,0,0,0,10/31/17,11/6/17
10/31/17,48259,Kendall County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48261,Kenedy County,TX,43.56,56.44,16.59,0,0,0,10/31/17,11/6/17
10/31/17,48263,Kent County,TX,49.61,50.39,0,0,0,0,10/31/17,11/6/17
10/31/17,48265,Kerr County,TX,77.97,22.03,0,0,0,0,10/31/17,11/6/17
10/31/17,48267,Kimble County,TX,59.84,40.16,0,0,0,0,10/31/17,11/6/17
10/31/17,48269,King County,TX,20.01,79.99,6.5,0,0,0,10/31/17,11/6/17
10/31/17,48271,Kinney County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48273,Kleberg County,TX,0.32,99.68,68.8,0,0,0,10/31/17,11/6/17
10/31/17,48275,Knox County,TX,47.74,52.26,17.2,0,0,0,10/31/17,11/6/17
10/31/17,48277,Lamar County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48279,Lamb County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48281,Lampasas County,TX,95.06,4.94,0,0,0,0,10/31/17,11/6/17
10/31/17,48283,La Salle County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48285,Lavaca County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48287,Lee County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48289,Leon County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48291,Liberty County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48293,Limestone County,TX,91.21,8.79,0,0,0,0,10/31/17,11/6/17
10/31/17,48295,Lipscomb County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48297,Live Oak County,TX,97.81,2.19,0,0,0,0,10/31/17,11/6/17
10/31/17,48299,Llano County,TX,1.03,98.97,0,0,0,0,10/31/17,11/6/17
10/31/17,48301,Loving County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48303,Lubbock County,TX,57.97,42.03,0,0,0,0,10/31/17,11/6/17
10/31/17,48305,Lynn County,TX,41.75,58.25,0,0,0,0,10/31/17,11/6/17
10/31/17,48307,McCulloch County,TX,49.1,50.9,0,0,0,0,10/31/17,11/6/17
10/31/17,48309,McLennan County,TX,1.01,98.99,0,0,0,0,10/31/17,11/6/17
10/31/17,48311,McMullen County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48313,Madison County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48315,Marion County,TX,0,100,100,0,0,0,10/31/17,11/6/17
10/31/17,48317,Martin County,TX,93.46,6.54,0,0,0,0,10/31/17,11/6/17
10/31/17,48319,Mason County,TX,1.28,98.72,0,0,0,0,10/31/17,11/6/17
10/31/17,48321,Matagorda County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48323,Maverick County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48325,Medina County,TX,82.45,17.55,0,0,0,0,10/31/17,11/6/17
10/31/17,48327,Menard County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48329,Midland County,TX,34.39,65.61,0,0,0,0,10/31/17,11/6/17
10/31/17,48331,Milam County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48333,Mills County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48335,Mitchell County,TX,98.96,1.04,0,0,0,0,10/31/17,11/6/17
